Flight     | Airline                                  | Arrival Time         | Origin   | Model    | Reg
GS7656     | Tianjin Airlines                         | 2026-02-12 14:05     | DLC      | E90      | N/A
MU2393     | China Eastern Airlines                   | 2026-02-12 14:05     | NGB      | A320     | B-6335
GX8812     | GX Airlines                              | 2026-02-12 14:10     | UYN      | A20N     | B-32J2
HU7862     | Hainan Airlines                          | 2026-02-12 14:10     | HGH      | B38M     | B-224G
KY8253     | Kunming Airlines                         | 2026-02-12 14:10     | KMG      | B738     | B-1331
MU2292     | China Eastern Airlines                   | 2026-02-12 14:10     | HGH      | A21N     | B-32P6
HU7237     | Hainan Airlines                          | 2026-02-12 14:15     | PEK      | B738     | B-5733
MU2184     | China Eastern Airlines                   | 2026-02-12 14:15     | SHE      | A320     | B-6376
HO1211     | Juneyao Air                              | 2026-02-12 14:15     | SHA      | A321     | B-8956
CZ5118     | China Southern Airlines                  | 2026-02-12 14:20     | ZUH      | 738      | N/A
HU6286     | Hainan Airlines                          | 2026-02-12 14:25     | HAK      | B38M     | B-224F
CA1223     | Air China                                | 2026-02-12 14:30     | PEK      | B738     | B-1419
CZ6305     | China Southern Airlines                  | 2026-02-12 14:30     | URC      | 7M8      | N/A
HU7502     | Hainan Airlines                          | 2026-02-12 14:30     | NKG      | B38M     | B-224J
CZ3219     | China Southern Airlines                  | 2026-02-12 14:35     | CAN      | A20N     | B-301J
CX946      | Cathay Pacific                           | 2026-02-12 14:40     | HKG      | 333      | N/A
MU2370     | China Eastern Airlines                   | 2026-02-12 14:40     | DLC      | A20N     | B-32C3
ZH9252     | Shenzhen Airlines                        | 2026-02-12 14:40     | YTY      | 320      | N/A
MU2296     | China Eastern Airlines                   | 2026-02-12 14:40     | PVG      | C919     | B-65A0
TV6105     | Tibet Airlines                           | 2026-02-12 14:40     | JHG      | A320     | B-8417
G52824     | China Express Airlines                   | 2026-02-12 14:45     | UCB      | 321      | N/A
HU7166     | Hainan Airlines                          | 2026-02-12 14:45     | XNN      | 73H      | N/A
SC8741     | Shandong Airlines                        | 2026-02-12 14:50     | TNA      | B738     | B-7567
ZH9258     | Shenzhen Airlines                        | 2026-02-12 14:50     | NTG      | A20N     | B-30CK
HU7872     | Hainan Airlines                          | 2026-02-12 14:50     | SZX      | B38M     | B-225R
TV9995     | Tibet Airlines                           | 2026-02-12 14:50     | LXA      | A19N     | B-32AK
9H8330     | Air Changan                              | 2026-02-12 14:55     | URC      | B738     | B-1481
MU2110     | China Eastern Airlines                   | 2026-02-12 14:55     | PKX      | A320     | B-6375
MU5269     | China Eastern Airlines                   | 2026-02-12 14:55     | KHN      | A320     | B-1035
DZ6281     | Donghai Airlines                         | 2026-02-12 15:00     | SHS      | 733      | N/A
MU2326     | China Eastern Airlines                   | 2026-02-12 15:05     | CAN      | A321     | B-9903
ZH9286     | Shenzhen Airlines                        | 2026-02-12 15:05     | WUX      | 320      | N/A
HU7838     | Hainan Airlines                          | 2026-02-12 15:10     | CAN      | B738     | B-1102
ZH9267     | Shenzhen Airlines                        | 2026-02-12 15:10     | SZX      | 73H      | N/A
MU2154     | China Eastern Airlines                   | 2026-02-12 15:15     | SHA      | A321     | B-9905
CZ6293     | China Southern Airlines                  | 2026-02-12 15:20     | URC      | B38M     | B-20AT
HO1010     | Juneyao Air (Yudo Auto Livery)           | 2026-02-12 15:25     | GYU      | A320     | B-8236
MU2338     | China Eastern Airlines                   | 2026-02-12 15:25     | SYX      | A332     | B-5903
ZH9223     | Shenzhen Airlines                        | 2026-02-12 15:25     | CAN      | A20N     | B-30AP
MU2270     | China Eastern Airlines                   | 2026-02-12 15:30     | SZX      | A332     | B-5938
MU2165     | China Eastern Airlines                   | 2026-02-12 15:30     | JGN      | A319     | B-6439
MU2875     | China Eastern Airlines                   | 2026-02-12 15:30     | NKG      | A320     | B-1028
9H8308     | Air Changan                              | 2026-02-12 15:35     | HAK      | B738     | B-5579
MU2368     | China Eastern Airlines                   | 2026-02-12 15:35     | HAK      | A21N     | B-32N1
CZ3215     | China Southern Airlines                  | 2026-02-12 15:45     | CAN      | 738      | N/A
HU7846     | Hainan Airlines                          | 2026-02-12 15:45     | PVG      | B738     | B-5467
HU7560     | Hainan Airlines                          | 2026-02-12 15:50     | HRB      | B738     | B-1491
MU2156     | China Eastern Airlines                   | 2026-02-12 15:50     | SHA      | A320     | B-6372
HU7508     | Hainan Airlines                          | 2026-02-12 15:55     | CSX      | 73H      | N/A
MF8253     | Xiamen Air                               | 2026-02-12 15:55     | FOC      | B738     | B-1580
MU2210     | China Eastern (SkyTeam Livery)           | 2026-02-12 16:00     | SWA      | A321     | B-1837
MU2230     | China Eastern Airlines                   | 2026-02-12 16:00     | FOC      | A21N     | B-32KA
GS7673     | Tianjin Airlines                         | 2026-02-12 16:05     | TSN      | A320     | B-1849
MU2228     | China Eastern Airlines                   | 2026-02-12 16:05     | KRY      | A319     | B-6476
MU6510     | China Eastern Airlines                   | 2026-02-12 16:05     | YIW      | A319     | B-6460
9H8392     | Air Changan                              | 2026-02-12 16:10     | KWE      | B738     | B-5328
3U3292     | Sichuan Airlines                         | 2026-02-12 16:10     | CGQ      | A320     | B-6325
3U3272     | Sichuan Airlines                         | 2026-02-12 16:15     | SZX      | A319     | B-6433
MU2216     | China Eastern Airlines                   | 2026-02-12 16:15     | DNH      | A319     | B-8390
MU2112     | China Eastern Airlines                   | 2026-02-12 16:15     | PKX      | A321     | B-1679
MU2781     | China Eastern Airlines                   | 2026-02-12 16:15     | WUX      | A320     | B-6638
CZ3275     | China Southern Airlines                  | 2026-02-12 16:20     | NNG      | 738      | N/A
